epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl,lr
1,256.9876181884766,249.8644870768229,7.123130999509494,232.8225417480469,228.87465991210937,3.9478819400787355,0.001
2,226.74643247884114,223.18435701497395,3.562075070953369,227.85263459472657,224.37861420898437,3.4740213592529297,0.001
3,224.54965604654947,221.03330779622397,3.51634827524821,227.10759350585937,222.57232932128906,4.535265314483643,0.001
4,224.20594297688802,220.31279829101564,3.8931444221496583,225.31200810546875,221.44310610351562,3.8689028972625734,0.001
