epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,268.7929471110026,257.61122553710936,11.181722042544683,231.6918520751953,226.6489709716797,5.04288199005127
2,225.05024435221355,221.3185566813151,3.7316873213450115,223.01830617675782,219.97471945800783,3.0435857566833495
3,219.0468908935547,216.5455014485677,2.5013895161946613,218.40786906738282,216.29723566894532,2.1106328531265257
4,215.8967043782552,214.07124889322915,1.8254554765065512,217.21530087890625,215.77788107910158,1.4374191776275635
5,213.748786328125,212.4803498860677,1.2684363302230834,215.47757739257813,214.41307233886718,1.0645050077438354
6,212.3097204752604,211.38692240397134,0.9227983503341675,213.8384778808594,212.98729885253906,0.8511785841941834
7,211.33022709960937,210.51395687662762,0.8162703162829081,213.2901444580078,212.46008635253907,0.8300570835113525
8,210.77038430175782,209.9845983561198,0.785785817527771,212.67867504882813,211.91851806640625,0.7601566291809082
9,210.21668714192708,209.4521333170573,0.7645535783131917,212.86578122558595,212.0881478515625,0.7776334303855896
10,209.77647446289063,209.02366420084635,0.7528104681332906,211.97237790527345,211.23073374023437,0.741644275188446
11,209.3628578531901,208.61422627766927,0.7486316066424052,212.301521875,211.56279174804686,0.7387294622421264
12,209.00674606933595,208.26310241699218,0.7436435913721721,212.2742323486328,211.50156003417968,0.7726724871635438
13,208.75489247233074,208.01426331380208,0.7406291736920675,211.64370895996095,210.88415830078125,0.7595500755310058
14,208.5440860921224,207.80212641601562,0.7419602154413859,211.3894751464844,210.6731146484375,0.7163616097450256
15,208.24325451660155,207.50338362630208,0.7398712788263957,211.10953303222655,210.36477216796874,0.7447604948043823
16,208.0326353434245,207.29414548339844,0.7384903597513834,211.5524393310547,210.82034536132812,0.7320939366340637
17,207.79927024739584,207.06076153971355,0.7385087340037028,211.10200590820313,210.3586444580078,0.7433610761642456
18,207.6233241048177,206.88361791178386,0.7397059637705485,211.8169518310547,211.08321079101563,0.7337403043746948
19,207.49256475423178,206.75250817871094,0.7400561276435852,211.06794245605468,210.32971611328125,0.7382263261795043
20,207.25576323242188,206.51576114095053,0.7400021340370179,210.8751089111328,210.1498967285156,0.725212486076355
21,207.06180458170573,206.32267260742188,0.739132244459788,210.73368911132812,209.996676171875,0.7370126111030578
22,206.947602351888,206.20748457845053,0.7401175141016643,210.50126970214845,209.78170791015626,0.7195618642807007
23,206.7803601155599,206.04097054036458,0.7393897175470988,210.67982668457032,209.93768220214844,0.7421453301429749
24,206.68297507324218,205.94330903320312,0.7396656267166137,210.49473117675782,209.76648056640624,0.7282511303901672
25,206.52982956542968,205.78892507324218,0.7409044737815857,210.60330454101563,209.84918564453125,0.7541190732002259
26,206.3570844889323,205.61684264322918,0.740241967010498,210.50898264160156,209.77514631347657,0.7338367471694947
27,206.24608290201823,205.5065372721354,0.7395455148696899,210.575969921875,209.85298012695313,0.7229894968032837
28,206.14902940266927,205.4081153157552,0.740913810412089,210.44797658691405,209.719516015625,0.7284612193107605
29,206.06713424479167,205.32596270345053,0.7411715253194173,210.70303049316405,209.97450212402345,0.7285282615661621
30,205.84709322102864,205.10755094401043,0.7395422201474507,210.34256586914063,209.59357114257813,0.7489945702552795
31,205.79905537923176,205.0589781656901,0.7400773611068726,210.3176826171875,209.60237861328125,0.7153041611671448
32,205.7083512044271,204.96813174641926,0.7402192726771036,210.66817111816405,209.9440150390625,0.7241559074401855
33,205.58559167480468,204.8461759765625,0.7394152948697408,210.396265234375,209.65431520996094,0.7419499667167664
34,205.50854000651043,204.7676605794271,0.7408788168271383,210.6169993408203,209.88327551269532,0.7337244468688965
35,205.39487772623698,204.65454362792968,0.7403341141064962,210.3406662597656,209.60651938476562,0.7341481708526612
36,205.34249021809896,204.60120293782552,0.7412867485364278,210.60404013671874,209.85794814453126,0.7460918484687805
37,205.25342548828124,204.51233022460937,0.7410956421852112,210.42237897949218,209.68273461914063,0.7396450138092041
38,205.14976577148437,204.4103319498698,0.7394333291053772,211.03735437011719,210.29621958007812,0.7411349617958068
39,205.04316875,204.30166700846354,0.7415012088775634,210.43776489257812,209.70578666992188,0.7319782596588135
40,204.99907321777343,204.25902244466147,0.7400509317715963,211.49526774902344,210.78428364257812,0.7109848839759827
41,204.8849199544271,204.14434243164064,0.7405777567545573,210.48852309570313,209.76945053710938,0.7190727910041809
42,204.85954396972656,204.1197530110677,0.7397909158388773,210.6261449951172,209.87685141601563,0.749293733215332
43,204.7775464029948,204.03677314453125,0.7407729872385661,210.33196911621093,209.58577053222658,0.7461986820220947
44,204.72085876464843,203.98104235839844,0.7398168334643046,210.38990512695312,209.65717578125,0.7327292478561401
45,204.64125191243488,203.90161551106772,0.7396363396644592,210.28964995117187,209.54482172851561,0.7448282041549683
46,204.56283348795574,203.8231867594401,0.7396465864817301,210.4045678466797,209.65523051757813,0.7493379027366638
47,204.5359306315104,203.79603126627603,0.739899255212148,210.67034780273437,209.93637377929687,0.7339732403755188
48,204.4513780517578,203.71144741210938,0.7399302469571432,210.4053373046875,209.6607807373047,0.7445561368942261
49,204.3782046061198,203.639773046875,0.7384313206672668,210.52777351074218,209.79379973144532,0.7339738065719604
50,204.33656943359375,203.5978682454427,0.7387009539286296,210.6168701171875,209.86921804199218,0.7476524779319763
51,204.29743098958335,203.55868494466145,0.7387460611661275,210.48119760742188,209.7535120361328,0.727685656452179
52,204.25317302246094,203.51369711914063,0.7394760268529256,210.60965212402343,209.88297563476561,0.7266766004562378
53,204.21147569173178,203.4710704752604,0.740405109500885,210.6372916748047,209.8919029296875,0.7453895091056824
54,204.12650486653646,203.38700362955728,0.7395010381380717,210.79167165527343,210.06861391601564,0.7230583139419555
55,204.12630633951824,203.38771940917968,0.7385871122360229,211.25268488769532,210.51454916992188,0.7381346447944641
56,204.07316245930988,203.33331162923176,0.7398508206049601,210.64728955078124,209.92059602050782,0.726693413066864
57,203.9841480794271,203.24547572428386,0.7386726353009542,210.5079872314453,209.76585751953124,0.7421295529365539
58,203.97644135742186,203.23761091308594,0.7388303752263387,210.58870187988282,209.8447359375,0.7439660504341126
59,203.92502549641927,203.1864689453125,0.7385566545168559,210.62567338867188,209.88452734375,0.7411458770751953
60,203.87122266438803,203.13234828287762,0.7388748788833618,210.87306293945312,210.1333947265625,0.7396688554763794
61,203.82909818522134,203.0902697591146,0.73882867380778,211.04111540527344,210.30048720703124,0.7406288836479187
62,203.8100212890625,203.07025533854167,0.7397657361984253,210.72577873535155,209.99608383789064,0.7296955396652222
